Raw Characteristics,Parse Success,Listing ID,Price per unit,Location,EPC,Available from,Usable area,Floor,Condition,Layout,Age,Plot space,Total floors,Plot type
"{""Listing ID"": ""904411"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€4,167/ m2"", ""Užitná plocha"": ""66m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""3. podlaží z 3"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,904411,"€4,167/ m2",,A - Extremely economical,01/08/2025,66m²,3. podlaží z 3,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""904412"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""68m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""2. podlaží"", ""Price per unit"": ""€4,706/ m2"", """": ""Lift""}",True,904412,"€4,706/ m2",,,08/06/2025,68m²,2. podlaží,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""904414"", ""Layout"": ""3+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""85m²"", ""Available from"": ""01/06/2025"", ""Floor"": ""2. podlaží z 2"", ""Price per unit"": ""€14/ m2"", """": ""Cellar""}",True,904414,€14/ m2,,,01/06/2025,85m²,2. podlaží z 2,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""904416"", ""Layout"": ""1 bedroom"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€8/ m2"", ""Užitná plocha"": ""80m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,904416,€8/ m2,,E - Wasteful,,80m²,,Good,1 bedroom,Over 50 years,,,
"{""Listing ID"": ""904417"", ""Layout"": ""3+1"", ""Floor"": ""3. podlaží z 1"", ""Price per unit"": ""€6,419/ m2"", ""Užitná plocha"": ""74m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,904417,"€6,419/ m2",,,,74m²,3. podlaží z 1,Good,3+1,Over 50 years,,,
"{""Listing ID"": ""904419"", ""Layout"": ""4+1"", ""Plot space"": ""300m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€21/ m2"", ""Užitná plocha"": ""120m²"", ""Available from"": ""01/01/2026"", ""Condition"": ""After reconstruction"", ""Total floors"": ""4"", """": ""MHD 1 minute on foot""}",True,904419,€21/ m2,,,01/01/2026,120m²,,After reconstruction,4+1,Over 50 years,300m²,4,
"{""Listing ID"": ""904420"", ""Layout"": ""3+1"", ""Floor"": ""5. podlaží z 1"", ""Price per unit"": ""€7,841/ m2"", ""Užitná plocha"": ""88m²"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,904420,"€7,841/ m2",,,,88m²,5. podlaží z 1,Very good,3+1,Over 50 years,,,
"{""Listing ID"": ""904421"", ""Layout"": ""5+1"", ""Plot space"": ""370m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,534/ m2"", ""Užitná plocha"": ""178m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Very good"", ""Total floors"": ""2"", """": ""Garage""}",True,904421,"€3,534/ m2",,,08/06/2025,178m²,,Very good,5+1,Over 50 years,370m²,2,
"{""Listing ID"": ""904423"", ""Layout"": ""3+1"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€11/ m2"", ""Užitná plocha"": ""90m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""MHD 2 minutes on foot""}",True,904423,€11/ m2,,E - Wasteful,,90m²,,After reconstruction,3+1,Over 50 years,,,
"{""Listing ID"": ""904428"", ""Available from"": ""01/07/2025"", ""Condition"": ""Before reconstruction"", ""Total floors"": ""3"", ""Užitná plocha"": ""185m²"", ""Plot space"": ""4,000m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€8/ m2"", """": ""MHD 4 minutes on foot""}",True,904428,€8/ m2,,,01/07/2025,185m²,,Before reconstruction,,Over 50 years,"4,000m²",3,
