Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""905829"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""Price per unit"": ""€3,411/ m2"", ""Užitná plocha"": ""73m²"", ""Available from"": ""03/06/2025"", ""Floor"": ""1. podlaží"", """": ""MHD 4 minutes on foot""}",True,905829,"€3,411/ m2",1. podlaží,Good,,03/06/2025,73m²,3+1,,,,,
"{""Listing ID"": ""905830"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,458/ m2"", ""Užitná plocha"": ""107m²"", ""Plot space"": ""967m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""1"", """": ""MHD 2 minutes on foot""}",True,905830,"€3,458/ m2",,Good,,,107m²,2 bedroom,G - Extremely uneconomical,967m²,,Over 50 years,1
"{""Listing ID"": ""905831"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""Total floors"": ""2"", ""Užitná plocha"": ""110m²"", ""Plot space"": ""1,164m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,045/ m2"", """": ""Parking""}",True,905831,"€3,045/ m2",,Good,,,110m²,3+1,,"1,164m²",,Over 50 years,2
"{""Listing ID"": ""905833"", ""Available from"": ""03/06/2025"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€1/ m2"", ""Plocha kanceláře"": ""345m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""Garage""}",True,905833,€1/ m2,1. podlaží z 2,After reconstruction,,03/06/2025,,,,,,Over 50 years,
"{""Listing ID"": ""905834"", ""Layout"": ""6+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€6,115/ m2"", ""Užitná plocha"": ""130m²"", ""Plot space"": ""124m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""3"", """": ""Garage""}",True,905834,"€6,115/ m2",,Good,,,130m²,6+1,C - Economical,124m²,,Over 50 years,3
"{""Listing ID"": ""905835"", ""Fully furnished"": ""Partly"", ""Floor"": ""2. podlaží"", ""Užitná plocha"": ""15m²"", ""Available from"": ""01/06/2025"", ""Price per unit"": ""€28/ m2"", """": ""Lift""}",True,905835,€28/ m2,2. podlaží,,,01/06/2025,15m²,,,,,,
"{""Listing ID"": ""905836"", ""Layout"": ""3+1"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""65m²"", ""Available from"": ""03/06/2025"", ""Floor"": ""3. podlaží z 5"", ""Price per unit"": ""€20/ m2"", """": ""Garage""}",True,905836,€20/ m2,3. podlaží z 5,Very good,,03/06/2025,65m²,3+1,,,,Over 50 years,
"{""Listing ID"": ""905838"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€15/ m2"", ""Užitná plocha"": ""55m²"", ""Available from"": ""01/07/2025"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,905838,€15/ m2,1. podlaží,Good,,01/07/2025,55m²,2 bedroom,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""905839"", ""Price per unit"": ""€1,071/ m2"", ""Plot space"": ""578m²"", """": ""MHD 4 minutes on foot""}",True,905839,"€1,071/ m2",,,,,,,,578m²,,,
"{""Listing ID"": ""905840"", ""Layout"": ""4+1"", ""Condition"": ""Good"", ""Total floors"": ""2"", ""Užitná plocha"": ""138m²"", ""Plot space"": ""936m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,536/ m2"", """": ""Garage""}",True,905840,"€2,536/ m2",,Good,,,138m²,4+1,,936m²,,Over 50 years,2
"{""Listing ID"": ""905841"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""Price per unit"": ""€11/ m2"", ""Užitná plocha"": ""89m²"", ""Available from"": ""04/06/2025"", ""Floor"": ""3. podlaží"", """": ""Lift""}",True,905841,€11/ m2,3. podlaží,Good,,04/06/2025,89m²,3+1,,,,,
"{""Listing ID"": ""905842"", ""Layout"": ""4+1"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""90m²"", ""Condition"": ""Good"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€1,644/ m2"", """": ""MHD 4 minutes by car""}",True,905842,"€1,644/ m2",1. podlaží,Good,,,90m²,4+1,B - Very economical,,,Over 50 years,
"{""Listing ID"": ""905851"", ""Layout"": ""3+1"", ""Price per unit"": ""€18/ m2"", ""Užitná plocha"": ""84m²"", ""Condition"": ""After reconstruction"", """": ""Cellar""}",True,905851,€18/ m2,,After reconstruction,,,84m²,3+1,,,,,
"{""Listing ID"": ""905852"", ""Condition"": ""Very good"", ""Price per unit"": ""€9/ m2"", ""Plocha kanceláře"": ""125m²"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,905852,€9/ m2,,Very good,,,,,,,,Over 50 years,
"{""Listing ID"": ""905853"", ""Layout"": ""2 bedroom"", ""Condition"": ""Very good"", ""Price per unit"": ""€13/ m2"", ""Užitná plocha"": ""62m²"", ""Plot space"": ""100m²"", ""Total floors"": ""1"", """": ""MHD 0 minutes on foot""}",True,905853,€13/ m2,,Very good,,,62m²,2 bedroom,,100m²,,,1
"{""Listing ID"": ""905854"", ""Layout"": ""2 bedroom"", ""Floor"": ""1. podlaží z 2"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""54m²"", ""Condition"": ""Very good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€11/ m2"", """": ""MHD 0 minutes on foot""}",True,905854,€11/ m2,1. podlaží z 2,Very good,,,54m²,2 bedroom,C - Economical,,,Over 50 years,
